Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
150,Jonas Valančiūnas,DEN,10395000,10000000,,,,,"$10,395,000",Jonas Valančiūnas,DEN,10395000,Role Player,10.395,True,True,20395000.0
151,T.J. McConnell,IND,10200000,11000000,,,,,"$33,000,000",T.J. McConnell,IND,10200000,Role Player,10.2,True,True,21200000.0
152,Royce O'Neale,PHO,10125000,10875000,,,,,"$32,625,000",Royce O'Neale,PHX,10125000,Role Player,10.125,True,True,21000000.0
154,Sam Hauser,BOS,10044644,10848215,,,,,"$45,000,000",Sam Hauser,BOS,10044644,Role Player,10.044644,True,True,20892859.0
155,Kon Knueppel,CHO,10015680,10516560,,,,,"$20,532,240",Kon Knueppel,CHA,10015680,Role Player,10.01568,True,True,20532240.0
156,Derrick Jones Jr.,LAC,10000000,10476190,,,,,"$20,476,190",Derrick Jones Jr.,LAC,10000000,Role Player,10.0,True,True,20476190.0
157,Lonzo Ball,CLE,10000000,10000000,,,,,"$10,000,000",Lonzo Ball,CLE,10000000,Role Player,10.0,True,True,20000000.0
159,Amen Thompson,HOU,9690600,12258609,,,,,"$9,690,600",Amen Thompson,HOU,9690600,Role Player,9.6906,True,True,21949209.0
160,Aaron Wiggins,OKC,9672897,8831776,,,,,"$34,485,983",Aaron Wiggins,OKC,9672897,Role Player,9.672897,True,True,18504673.0
161,Caleb Martin,DAL,9594044,10001493,,,,,"$19,595,537",Caleb Martin,DAL,9594044,Role Player,9.594044,True,True,19595537.0
162,Stephon Castle,SAS,9560520,10015920,,,,,"$9,560,520",Stephon Castle,SAS,9560520,Role Player,9.56052,True,True,19576440.0
164,Buddy Hield,GSW,9219512,9658536,,,,,"$18,878,048",Buddy Hield,GSW,9219512,Role Player,9.219512,True,True,18878048.0
165,Kyle Anderson,UTA,9219512,9658536,,,,,"$9,219,512",Kyle Anderson,UTA,9219512,Role Player,9.219512,True,True,18878048.0
167,Ace Bailey,UTA,9069840,9523080,,,,,"$18,592,920",Ace Bailey,UTA,9069840,Role Player,9.06984,True,True,18592920.0
168,Naji Marshall,DAL,9000000,9428571,,,,,"$18,428,571",Naji Marshall,DAL,9000000,Role Player,9.0,True,True,18428571.0
169,Jalen Smith,CHI,9000000,9428571,,,,,"$18,428,571",Jalen Smith,CHI,9000000,Role Player,9.0,True,True,18428571.0
170,Ausar Thompson,DET,8775000,11117925,,,,,"$8,775,000",Ausar Thompson,DET,8775000,Role Player,8.775,True,True,19892925.0
171,Ron Holland,DET,8657280,9069600,,,,,"$8,657,280",Ron Holland,DET,8657280,Role Player,8.65728,True,True,17726880.0
174,Goga Bitadze,ORL,8333333,7608696,,,,,"$15,942,029",Goga Bitadze,ORL,8333333,Role Player,8.333333,True,True,15942029.0
177,Zeke Nnaji,DEN,8177778,7466667,,,,,"$15,644,445",Zeke Nnaji,DEN,8177778,Role Player,8.177778,True,True,15644445.0
181,Anthony Black,ORL,7970280,10106316,,,,,"$7,970,280",Anthony Black,ORL,7970280,Role Player,7.97028,True,True,18076596.0
182,Tidjane Salaün,CHO,7863240,8237880,,,,,"$7,863,240",Tidjane Salaün,CHA,7863240,Role Player,7.86324,True,True,16101120.0
183,Max Christie,DAL,7714286,8285714,,,,,"$16,000,000",Max Christie,DAL,7714286,Role Player,7.714286,True,True,16000000.0
185,Jeremiah Fears,NOP,7520040,7896240,,,,,"$15,416,280",Jeremiah Fears,NOR,7520040,Role Player,7.52004,True,True,15416280.0
